,publishedAt,title,description,thumbnail
0,2019-11-10T13:30:04.000Z,윤도현 선배님과 S본부에서 만남(feat. 우리 호흡 난리남),SBS에 내레이션 하러 갔다가 윤도현 선배님의 비타민 됐음(뿌듯),https://i.ytimg.com/vi/2biW2UZBvVA/default.jpg
1,2019-09-24T13:24:56.000Z,EBS 최초 연습생 펭수의 오디션 합격 TIP *최초공개*,내가 어떻게 EBS 연습생 됐는지 궁금하지? 부끄럽지만 오디션 영상 공개할게 다들 참고바람!,https://i.ytimg.com/vi/K_5lal40lCk/default.jpg
2,2019-12-22T13:10:30.000Z,냉탕과 온탕을 오가는 지옥의 뒤끝파티 (feat.슈퍼콘 챌린지),"드디어 만났다! 펭수와 슈퍼콘, 슈퍼콘과 펭수.",https://i.ytimg.com/vi/PGg29u4t2vY/default.jpg
3,2019-07-21T05:39:50.000Z,[펭수 Live] 토이스토리 OST - You&#39;ve got a friend in me (Live Performance by a Giant Penguin &#39;Pengsoo&#39;),"눈호강 귀호강 보장* 무려 기타리스트를 초청해서 무려 어쿠스틱 라이브로 불러본 세상에서 제일 귀여운 펭수 라이브 - 토이스토리 OST ""You've...",https://i.ytimg.com/vi/mCZAqI419Tg/default.jpg
4,2019-10-06T13:32:38.000Z,우리 펭수가 눈물이 많아졌어요 [펭귄극장EP1_펭귄의 눈물],펭수가 눈물이 많아진 이유 아무에게도 말 못할 속사정 지금 공개합니다.,https://i.ytimg.com/vi/AkNQlVM4DrU/default.jpg
